benchmark name,input size,L3 size (KB), L3 Associativity, L3 Replacement Policy, core0 IPC,Peak Dynamic Power of processor,Peak Dynamic of L3,L3 miss rate
splash2-ocean.cont,large,512,16,lru,0.22,63.8562,0.212275,82.16%
splash2-ocean.cont,large,512,16,rr,0.22,63.8131,0.211978,82.08%
splash2-ocean.cont,large,512,16,srrip,0.22,63.8496,0.212118,82.14%
splash2-ocean.cont,large,512,32,lru,0.22,63.8745,0.215227,82.16%
splash2-ocean.cont,large,512,32,rr,0.22,63.8191,0.214754,82.03%
splash2-ocean.cont,large,512,32,srrip,0.22,63.8769,0.215215,82.03%
splash2-ocean.cont,large,512,8,lru,0.22,63.8021,0.210206,82.18%
splash2-ocean.cont,large,512,8,rr,0.22,63.7868,0.210409,82.11%
splash2-ocean.cont,large,512,8,srrip,0.22,63.8231,0.210525,82.13%
splash2-radix,large,512,16,lru,0.39,68.7415,0.0331385,78.15%
splash2-radix,large,512,16,rr,0.39,68.5995,0.0332552,80.90%
splash2-radix,large,512,16,srrip,0.39,68.6767,0.0334536,79.06%
splash2-radix,large,512,32,lru,0.39,68.7918,0.0334405,77.58%
splash2-radix,large,512,32,rr,0.39,68.6363,0.0336296,80.35%
splash2-radix,large,512,32,srrip,0.39,68.7088,0.033866,78.58%
splash2-radix,large,512,8,lru,0.39,68.6317,0.0331412,79.85%
splash2-radix,large,512,8,rr,0.39,68.5398,0.0332456,81.11%
splash2-radix,large,512,8,srrip,0.39,68.5971,0.0333501,80.06%
npb-is,large,512,16,lru,0.51,77.0316,0.13445,91.80%
npb-is,large,512,16,rr,0.51,76.7849,0.135127,91.20%
npb-is,large,512,16,srrip,0.49,75.8362,0.127792,91.60%
npb-is,large,512,32,lru,0.51,77.2504,0.135889,91.60%
npb-is,large,512,32,rr,0.51,77.0626,0.136888,91.19%
npb-is,large,512,32,srrip,0.52,77.3655,0.136019,91.59%
npb-is,large,512,8,lru,0.5,76.3009,0.133638,92.00%
npb-is,large,512,8,rr,0.49,76.1727,0.134399,91.59%
npb-is,large,512,8,srrip,0.5,76.3961,0.133905,91.97%
