benchmark name,input size,rs entries,core0 IPC,Peak Dynamic Power of processor (W),CPI: rs_full,Total Energy Consumption (J)
splash2-ocean.cont,small,128,1.11,26.9258,0,2.23
splash2-ocean.cont,small,16,0.88,24.737,61.92,2.53
splash2-ocean.cont,small,2,0.32,17.204,48.61,5.15
splash2-ocean.cont,small,32,1.09,26.8095,53.39,2.26
splash2-ocean.cont,small,48,1.11,26.9128,7.90,2.24
splash2-ocean.cont,small,4,0.42,18.5641,54.57,4.15
splash2-ocean.cont,small,64,1.11,26.9279,2.72,2.23
splash2-ocean.cont,small,8,0.62,21.2538,56.82,3.14
splash2-ocean.cont,small,98,1.11,26.9287,0,2.23
splash2-radix,small,128,0.45,17.8122,0,0.54
splash2-radix,small,16,0.44,17.7139,94.52,0.55
splash2-radix,small,2,0.36,16.888,89.60,0.65
splash2-radix,small,32,0.45,17.7756,95.05,0.55
splash2-radix,small,48,0.45,17.7913,94.97,0.55
splash2-radix,small,4,0.40,17.301,91.01,0.60
splash2-radix,small,64,0.45,17.8094,95.36,0.54
splash2-radix,small,8,0.43,17.5329,93.51,0.57
splash2-radix,small,98,0.45,17.8122,95.28,0.54
splash2-barnes,small,128,1.29,29.0213,0,10.20
splash2-barnes,small,16,0.83,24.7063,75.64,13.17
splash2-barnes,small,2,0.39,18.5001,60.18,22.74
splash2-barnes,small,32,1.24,28.7012,61.02,10.41
splash2-barnes,small,48,1.28,29.0062,21.71,10.21
splash2-barnes,small,4,0.55,20.6872,70.32,17.60
splash2-barnes,small,64,1.28,29.0169,1.69,10.20
splash2-barnes,small,8,0.66,22.2525,73.35,15.42
splash2-barnes,small,98,1.29,29.0198,0,10.20
npb-is,small,128,1.75,29.0814,0,1.50
npb-is,small,16,1.34,26.9852,11.27,1.71
npb-is,small,2,0.44,18.4251,29.44,3.58
npb-is,small,32,1.61,28.3851,4.86,1.56
npb-is,small,48,1.72,28.94,0,1.51
npb-is,small,4,0.62,20.5618,23.16,2.79
npb-is,small,64,1.74,29.0447,0,1.50
npb-is,small,8,0.91,24.1612,25.46,2.15
npb-is,small,98,1.74,29.0687,0,1.50
npb-cg,small,128,1.99,33.0677,0,7.25
npb-cg,small,16,1.28,28.4563,65.46,9.08
npb-cg,small,2,0.32,17.3686,35.38,24.43
npb-cg,small,32,1.82,31.9667,72.45,7.56
npb-cg,small,48,1.98,33.0646,2.62,7.25
npb-cg,small,4,0.53,20.2558,47.98,16.26
npb-cg,small,64,1.99,33.0674,0,7.25
npb-cg,small,8,0.77,23.5657,48.24,12.40
npb-cg,small,98,1.99,33.0673,0,7.25
