                                     | Core 0     
  Instructions                       |  1642137846
  Cycles                             |  1278004215
  IPC                                |        1.28
  Time (ns)                          |   480452713
  Idle time (ns)                     |      206446
  Idle time (%)                      |        0.0%
Branch predictor stats               |            
  num correct                        |   102255644
  num incorrect                      |    11362014
  misprediction rate                 |      10.00%
  mpki                               |        6.92
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |   206713044
    num misses                       |          30
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |   935403294
    num misses                       |     4039665
    miss rate                        |       0.43%
    mpki                             |        2.46
  L2 TLB                             |            
    num accesses                     |     4039695
    num misses                       |      298425
    miss rate                        |       7.39%
    mpki                             |        0.18
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |   206713044
    num cache misses                 |       11578
    miss rate                        |       0.01%
    mpki                             |        0.01
  Cache L1-D                         |            
    num cache accesses               |   935403294
    num cache misses                 |    16974927
    miss rate                        |       1.81%
    mpki                             |       10.34
  Cache L2                           |            
    num cache accesses               |    16987869
    num cache misses                 |     1165147
    miss rate                        |       6.86%
    mpki                             |        0.71
  Cache L3                           |            
    num cache accesses               |     1166511
    num cache misses                 |       60949
    miss rate                        |       5.22%
    mpki                             |        0.04
DRAM summary                         |            
  num dram accesses                  |       60949
  average dram access latency (ns)   |       58.72
  average dram queueing delay        |        5.29
  average dram bandwidth utilization |       0.00%
Coherency Traffic                    |            
  num loads from dram                |       12068
  num loads from dram cache          |           0
  num loads from remote cache        |           0
