benchmark name,input size,PHT index bits,core0 IPC,Peak Dynamic Power of processor (W),Energy (J),Time (ns)
fmm,small,0,1.73,105.486,9.23,149207766
fmm,small,16,2.01,109.149,8.79,129798366
fmm,small,4,1.75,105.489,9.23,149181666
fmm,small,8,1.90,107.67,8.96,137041468
radiosity,small,0,0.54,79.9792,6.66,178265633
radiosity,small,16,1.32,108.878,4.37,74932233
radiosity,small,4,0.56,79.419,6.78,183070333
radiosity,small,8,0.71,87.2448,5.88,142406667
cholesky,small,0,1.71,116.8,2.80,40167210
cholesky,small,16,2.03,124.948,2.55,31787717
cholesky,small,4,1.70,116.834,2.83,40567517
cholesky,small,8,1.73,120.253,2.62,35404210
lu.cont,small,0,1.09,98.0469,1.41,30565332
lu.cont,small,16,2.69,123.793,1.00,12351732
lu.cont,small,4,1.09,98.0507,1.41,30560432
lu.cont,small,8,2.63,122.85,1.01,12628031
raytrace,small,0,0.52,77.5548,3.14,87265117
raytrace,small,16,1.02,101.027,2.21,45126217
raytrace,small,4,0.52,77.5711,3.14,87208517
raytrace,small,8,0.64,83.5817,2.77,70607817
