CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.01       0.01       0.01       0.01
depend-fp              0.06       0.06       0.05       0.08
depend-branch          0.01       0.01       0.01       0.01
issue-port0            0.01       0.01       0.01       0.01
issue-port1            0.00       0.01       0.00       0.00
issue-port2            0.02       0.02       0.02       0.01
branch                 0.07       0.09       0.08       0.12
ifetch                 0.01       0.00       0.01       0.00
mem-l1d                0.04       0.04       0.04       0.05
mem-l3                 0.03       0.02       0.03       0.03
mem-dram               0.06       0.08       0.07       0.07
other                  0.01       0.01       0.02       0.02

total                  0.58       0.60       0.60       0.65
