CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.10       0.10       0.10       0.10
depend-fp              0.05       0.05       0.05       0.05
depend-branch          0.05       0.05       0.05       0.05
branch                 0.27       0.27       0.27       0.27
mem-l1d                0.11       0.11       0.11       0.11
mem-l3                 0.02       0.02       0.03       0.03
sync-futex             0.06       0.15       0.10       0.10
other                  0.01       0.00       0.00       0.00

total                  0.92       1.01       0.96       0.96
