CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.13       0.13       0.13       0.13
depend-fp              0.15       0.15       0.14       0.15
depend-branch          0.10       0.10       0.10       0.10
issue                  0.02       0.02       0.02       0.02
branch                 0.90       0.85       0.81       0.85
mem-l1d                0.22       0.21       0.21       0.21
mem-l3                 0.02       0.02       0.02       0.02
sync-futex             0.04       0.03       0.03       0.04
other                  0.02       0.01       0.01       0.01

total                  1.85       1.77       1.72       1.79
