CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.07       0.07       0.07       0.07
depend-fp              0.11       0.11       0.11       0.12
depend-branch          0.04       0.04       0.04       0.04
issue-port2            0.01       0.01       0.01       0.01
branch                 0.27       0.27       0.28       0.27
mem-l1d                0.09       0.09       0.09       0.09
mem-l2                 0.02       0.01       0.02       0.02
mem-l3                 0.06       0.07       0.08       0.07
mem-dram               0.04       0.03       0.05       0.04
sync-futex             0.01       0.01       0.01       0.01
other                  0.01       0.01       0.01       0.01

total                  0.98       0.98       1.02       0.99
