                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  122066386 |  123059919 |  117207077 |  121285258
  Cycles                             |  120035735 |  120035735 |  120035735 |  120035735
  IPC                                |       1.02 |       1.03 |       0.98 |       1.01
  Time (ns)                          |   45126217 |   45126217 |   45126217 |   45126217
  Idle time (ns)                     |     461390 |     485603 |     493939 |     491187
  Idle time (%)                      |       1.0% |       1.1% |       1.1% |       1.1%
Branch predictor stats               |            |            |            |           
  num correct                        |   12457057 |   12711695 |   11959899 |   12351557
  num incorrect                      |     825466 |     859216 |     858868 |     827137
  misprediction rate                 |      6.21% |      6.33% |      6.70% |      6.28%
  mpki                               |       6.76 |       6.98 |       7.33 |       6.82
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   16632824 |   16662457 |   15927779 |   16631337
    num misses                       |         50 |         47 |         42 |         42
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   47517472 |   47791671 |   45615602 |   47253369
    num misses                       |     280963 |     264566 |     305971 |     296148
    miss rate                        |      0.59% |      0.55% |      0.67% |      0.63%
    mpki                             |       2.30 |       2.15 |       2.61 |       2.44
  L2 TLB                             |            |            |            |           
    num accesses                     |     281013 |     264613 |     306013 |     296190
    num misses                       |      41739 |      44381 |      55617 |      51139
    miss rate                        |     14.85% |     16.77% |     18.17% |     17.27%
    mpki                             |       0.34 |       0.36 |       0.47 |       0.42
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   16632824 |   16662457 |   15927779 |   16631337
    num cache misses                 |      45671 |      45855 |      49865 |      51271
    miss rate                        |      0.27% |      0.28% |      0.31% |      0.31%
    mpki                             |       0.37 |       0.37 |       0.43 |       0.42
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   47517472 |   47791671 |   45615602 |   47253369
    num cache misses                 |    1553021 |    1385664 |    1519189 |    1776982
    miss rate                        |      3.27% |      2.90% |      3.33% |      3.76%
    mpki                             |      12.72 |      11.26 |      12.96 |      14.65
  Cache L2                           |            |            |            |           
    num cache accesses               |    1606186 |    1440516 |    1575994 |    1834367
    num cache misses                 |     370318 |     441741 |     448619 |     408726
    miss rate                        |     23.06% |     30.67% |     28.47% |     22.28%
    mpki                             |       3.03 |       3.59 |       3.83 |       3.37
  Cache L3                           |            |            |            |           
    num cache accesses               |     377813 |     450735 |     455556 |     414838
    num cache misses                 |      50563 |      45605 |      55836 |      44599
    miss rate                        |     13.38% |     10.12% |     12.26% |     10.75%
    mpki                             |       0.41 |       0.37 |       0.48 |       0.37
DRAM summary                         |            |            |            |           
  num dram accesses                  |     314509 |          0 |          0 |          0
  average dram access latency (ns)   |      58.92 |        inf |        inf |        inf
  average dram queueing delay        |       5.49 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      49965 |      45055 |      55418 |      44277
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
